"","moderator","level","nStudies","nES","subgroupEst","subgroupP","coef","overallStat","overallP"
"1","Year",NA,10,29,NA,NA,0.00338866304584643,"t(8) = 0.443",0.669473364139684
"2","Country",NA,NA,NA,NA,NA,NA,"F(1, 8) = 0.009",0.926634937676707
"3","Country","Other (Non-North America)",6,17,-0.0503779299263774,0.278598988948104,NA,NA,NA
"4","Country","USA",4,12,-0.0564261828511473,0.474266625172875,NA,NA,NA
"5","Intervention Type",NA,NA,NA,NA,NA,NA,"F(1, 7) = 0.866",0.382944407476673
"6","Intervention Type","Indicated prevention",5,16,-0.104483526218426,0.201727328273092,NA,NA,NA
"7","Intervention Type","Universal prevention",4,9,-0.0434417124426689,0.214738528546977,NA,NA,NA
"8","Risk Screening",NA,NA,NA,NA,NA,NA,"F(1, 8) = 1.382",0.273480888792831
"9","Risk Screening","No risk screening",5,13,-0.0244088734743255,0.486081118085089,NA,NA,NA
"10","Risk Screening","Screen on BD",5,16,-0.104483526218426,0.201727328273092,NA,NA,NA
"11","Mean Age",NA,10,29,NA,NA,0.0049003943418037,"t(8) = 0.203",0.844456723916077
"12","Percent Female",NA,10,29,NA,NA,-0.000317990405298119,"t(8) = -0.19",0.85433474847163
"13","Percent Non-white",NA,9,28,NA,NA,-0.000389538133720307,"t(7) = -0.128",0.901923881464724
"14","Length (Minutes)",NA,9,25,NA,NA,7.39904960503062e-05,"t(7) = 0.243",0.814988448603001
"15","Length (Sessions)",NA,10,29,NA,NA,-0.00578109195678031,"t(8) = -0.501",0.629968585410423
"16","Length (Days)",NA,10,29,NA,NA,0.00079703379655072,"t(8) = 0.201",0.845592185094602
"17","Treatment Completion Rate",NA,5,19,NA,NA,-0.00650383568350606,"t(3) = -3.034",0.056146700534404
"18","Control Condition",NA,NA,NA,NA,NA,NA,"F(1, 8) = 1.714",0.226868532077668
"19","Control Condition","Active control",3,7,-0.0430196394588238,0.567531967966049,NA,NA,NA
"20","Control Condition","Waitlist/no treatment",8,22,-0.0628950150965861,0.145639092388073,NA,NA,NA
"21","Outcome",NA,NA,NA,NA,NA,NA,"F(1, 8) = 0.048",0.832072180641668
"22","Outcome","Depression Symptomatology",4,9,-0.0505800821524509,0.154374706038623,NA,NA,NA
"23","Outcome","Trait Negative Affect",6,20,-0.0633979534749207,0.361141693253757,NA,NA,NA
"24","Follow-up Length",NA,NA,NA,NA,NA,NA,"F(1, 8) = 0.146",0.712314131302561
"25","Follow-up Length","Between 3 and 12 weeks",5,8,-0.0701317442723186,0.464227316130031,NA,NA,NA
"26","Follow-up Length","Greater than 12 weeks",7,21,-0.055463793895043,0.124944965687267,NA,NA,NA
"27","Facilitator Supervision",NA,NA,NA,NA,NA,NA,"F(1, 7) = 0",0.983701081949236
"28","Facilitator Supervision","No supervision",4,11,-0.0326013913608328,0.609164973559938,NA,NA,NA
"29","Facilitator Supervision","Supervision",5,14,-0.0344146880464202,0.430926714301197,NA,NA,NA
"30","studyCompletion",NA,9,25,NA,NA,0.000449100750051296,"t(7) = 0.148",0.886737655642535
"31","Randomized Units",NA,NA,NA,NA,NA,NA,"F(1, 7) = 0.017",0.900218355105653
"32","Randomized Units","< 30 per group",6,17,-0.0503779299263774,0.278598988948104,NA,NA,NA
"33","Randomized Units",">= 30 per group",3,11,-0.0336574641169216,0.704834405363421,NA,NA,NA
