"","moderator","level","nStudies","nES","subgroupEst","subgroupP","coef","overallStat","overallP"
"1","Year",NA,13,21,NA,NA,0.00475046705348646,"t(11) = 0.302",0.768135925885661
"2","Country",NA,NA,NA,NA,NA,NA,"F(1, 11) = 4.379",0.060374267164631
"3","Country","Other (Non-North America)",8,13,-0.111669121533919,0.0170580455431856,NA,NA,NA
"4","Country","USA",5,8,-0.36760265643969,0.0514622335624843,NA,NA,NA
"5","Intervention Type",NA,NA,NA,NA,NA,NA,"F(1, 10) = 1.34",0.273978414641221
"6","Intervention Type","Indicated prevention",7,12,-0.290202217877,0.0146409446836795,NA,NA,NA
"7","Intervention Type","Universal prevention",5,7,-0.119076209950757,0.0637555940772902,NA,NA,NA
"8","Risk Screening",NA,NA,NA,NA,NA,NA,"F(1, 10) = 1.73",0.217746126976351
"9","Risk Screening","No risk screening",6,9,-0.101664743385145,0.0356553543613688,NA,NA,NA
"10","Risk Screening","Screen on BD",6,11,-0.267949738277283,0.0327048849780665,NA,NA,NA
"11","Mean Age",NA,12,20,NA,NA,-0.0535048045812685,"t(10) = -2.3",0.044231426352516
"12","Percent Female",NA,13,21,NA,NA,-0.0033674801130428,"t(11) = -1.669",0.123274840521624
"13","Percent Non-white",NA,11,18,NA,NA,-0.00782773036856426,"t(9) = -3.742",0.0046079729019903
"14","Provider",NA,NA,NA,NA,NA,NA,"F(1, 11) = 0.004",0.949334057869959
"15","Provider","Clinician-administered",10,16,-0.199446931273223,0.0091257283897828,NA,NA,NA
"16","Provider","Non-clinician-administered",4,5,-0.262761728885839,0.235004180656367,NA,NA,NA
"17","Length (Minutes)",NA,11,18,NA,NA,-0.000229193567590765,"t(9) = -0.716",0.492235260195502
"18","Length (Sessions)",NA,12,20,NA,NA,-0.0096802525418427,"t(10) = -0.657",0.526257954427309
"19","Length (Days)",NA,12,20,NA,NA,-0.00700578544249855,"t(10) = -2.232",0.0496661619744594
"20","Treatment Completion Rate",NA,8,14,NA,NA,0.00792302054204731,"t(6) = 2.145",0.0756024790902439
"21","Control Condition",NA,NA,NA,NA,NA,NA,"F(1, 11) = 0",0.999630176678149
"22","Control Condition","Active control",3,4,-0.286145546687773,0.0871251464265387,NA,NA,NA
"23","Control Condition","Waitlist/no treatment",11,17,-0.216545871477852,0.00947097759417644,NA,NA,NA
"24","Outcome",NA,NA,NA,NA,NA,NA,"F(1, 11) = 0.286",0.603426886898968
"25","Outcome","Depression Symptomatology",6,7,-0.150526090105272,0.0573105484255931,NA,NA,NA
"26","Outcome","Trait Negative Affect",8,14,-0.259018852953903,0.0248791680365187,NA,NA,NA
"27","Facilitator Supervision",NA,NA,NA,NA,NA,NA,"F(1, 10) = 0.069",0.798550725960285
"28","Facilitator Supervision","No supervision",6,9,-0.199149352229728,0.0476005494586867,NA,NA,NA
"29","Facilitator Supervision","Supervision",6,10,-0.274202045464378,0.0612261435670312,NA,NA,NA
"30","Post-test Data Availability",NA,13,21,NA,NA,0.006910056213363,"t(11) = 1.926",0.0803826429295009
"31","Randomized Units",NA,NA,NA,NA,NA,NA,"F(1, 10) = 9.634",0.0111782690188565
"32","Randomized Units","< 30 per group",7,11,-0.09415722936654,0.0242296243053143,NA,NA,NA
"33","Randomized Units",">= 30 per group",5,9,-0.339927466321355,0.0173019835352851,NA,NA,NA
