"","moderator","level","nStudies","nES","subgroupEst","subgroupP","coef","overallStat","overallP"
"1","Year",NA,13,21,NA,NA,0.00822545012549725,"t(6.588) = 0.573",0.58550035163787
"2","Country",NA,NA,NA,NA,NA,NA,"t(4.896) = -1.545",0.184275949663983
"3","Country","Other (Non-North America)",8,13,-0.116895876411003,0.040501585655375,NA,NA,NA
"4","Country","USA",5,8,-0.364282599714077,0.0665194051024334,NA,NA,NA
"5","Intervention Type",NA,NA,NA,NA,NA,NA,"t(8.183) = 1.149",0.28314571599434
"6","Intervention Type","Indicated prevention",7,12,-0.268550977839294,0.0232416654236824,NA,NA,NA
"7","Intervention Type","Universal prevention",5,7,-0.152705393146866,0.111822074928725,NA,NA,NA
"8","Risk Screening",NA,NA,NA,NA,NA,NA,"t(7.331) = -1.085",0.312259604904911
"9","Risk Screening","No risk screening",6,9,-0.135486511253346,0.0755622411444756,NA,NA,NA
"10","Risk Screening","Screen on BD",6,11,-0.242158047405528,0.0456223055798781,NA,NA,NA
"11","Mean Age",NA,12,20,NA,NA,-0.0424347130036089,"t(4.094) = -1.625",0.177816241861199
"12","Percent Female",NA,13,21,NA,NA,-0.00324218563090392,"t(7.157) = -1.648",0.142351640413743
"13","Percent Non-white",NA,11,18,NA,NA,-0.00548068590396632,"t(2.173) = -1.251",0.328632312838575
"14","Length (Minutes)",NA,12,19,NA,NA,-0.000563879078818137,"t(1.692) = -3.008",0.115921732981351
"15","Length (Sessions)",NA,13,21,NA,NA,-0.0251322354402908,"t(1.55) = -3.055",0.125464584659527
"16","Length (Days)",NA,13,21,NA,NA,-0.00429495303273305,"t(1.221) = -7.225",0.0597573796562232
"17","Treatment Completion Rate",NA,8,14,NA,NA,0.00739241302870537,"t(2.918) = 1.513",0.230061536483614
"18","Outcome",NA,NA,NA,NA,NA,NA,"t(8.687) = -0.79",0.45031968119247
"19","Outcome","Depression Symptomatology",6,7,-0.166037711602074,0.0754415115604046,NA,NA,NA
"20","Outcome","Trait Negative Affect",8,14,-0.260934720887475,0.030051333714574,NA,NA,NA
"21","Facilitator Supervision",NA,NA,NA,NA,NA,NA,"t(7.974) = -0.205",0.843083426137557
"22","Facilitator Supervision","No supervision",6,9,-0.178632939723236,0.0434788979111529,NA,NA,NA
"23","Facilitator Supervision","Supervision",6,10,-0.239449454839529,0.0829111235008422,NA,NA,NA
"24","Post-test Data Availability",NA,13,21,NA,NA,0.00628300403730167,"t(2.003) = 1.175",0.360687828403583
"25","Randomized Units",NA,NA,NA,NA,NA,NA,"t(5.573) = -1.734",0.137312144258074
"26","Randomized Units","< 30 per group",7,11,-0.123081267010287,0.0551253584475369,NA,NA,NA
"27","Randomized Units",">= 30 per group",5,9,-0.306993361694182,0.0432682949558687,NA,NA,NA
